"image","sym_d"
"ISIC_0000001_Segmentation.png",16526.4975031848
"ISIC_0000002_Segmentation.png",73655.1078959637
"ISIC_0000004_Segmentation.png",80295.4233687767
"ISIC_0000007_Segmentation.png",20613.3902541127
"ISIC_0000008_Segmentation.png",80895.3838516118
"ISIC_0000009_Segmentation.png",55162.7780148643
"ISIC_0000010_Segmentation.png",19010.207309261
"ISIC_0000011_Segmentation.png",43267.435993624
"ISIC_0000016_Segmentation.png",49652.921615188
"ISIC_0000017_Segmentation.png",80308.8173354756
"ISIC_0000018_Segmentation.png",123715.118175153
"ISIC_0000019_Segmentation.png",170033.259074057
"ISIC_0000021_Segmentation.png",134160.294383925
"ISIC_0000024_Segmentation.png",173408.26706955
"ISIC_0000025_Segmentation.png",103477.477872591
"ISIC_0000026_Segmentation.png",267048.916193891
"ISIC_0000028_Segmentation.png",125704.76440284
"ISIC_0000029_Segmentation.png",201924.298687044
"ISIC_0000032_Segmentation.png",174719.76789659
"ISIC_0000034_Segmentation.png",107424.236952378
"ISIC_0000035_Segmentation.png",244161.904675363
"ISIC_0000038_Segmentation.png",276637.586864228
"ISIC_0000041_Segmentation.png",35205.4896330051
"ISIC_0000044_Segmentation.png",267971.994008364
"ISIC_0000045_Segmentation.png",167977.539082186
"ISIC_0000048_Segmentation.png",65174.0297683292
"ISIC_0000051_Segmentation.png",151228.191103661
"ISIC_0000054_Segmentation.png",109877.611639906
"ISIC_0000055_Segmentation.png",220287.314101529
"ISIC_0000058_Segmentation.png",241002.010456622
"ISIC_0000059_Segmentation.png",225651.556010762
"ISIC_0000062_Segmentation.png",41803.7618949311
"ISIC_0000063_Segmentation.png",227275.290094463
"ISIC_0000065_Segmentation.png",130327.725410826
"ISIC_0000067_Segmentation.png",57902.0125374516
"ISIC_0000068_Segmentation.png",77612.9666706725
"ISIC_0000073_Segmentation.png",81541.6596931392
"ISIC_0000074_Segmentation.png",87728.710370228
"ISIC_0000077_Segmentation.png",215408.113140577
"ISIC_0000078_Segmentation.png",57943.9660753422
"ISIC_0000079_Segmentation.png",30931.8854920232
"ISIC_0000080_Segmentation.png",289586.739054653
"ISIC_0000081_Segmentation.png",112996.155258285
"ISIC_0000082_Segmentation.png",250914.777002403
"ISIC_0000085_Segmentation.png",125408.213783677
"ISIC_0000087_Segmentation.png",377743.238326488
"ISIC_0000091_Segmentation.png",130263.544003022
"ISIC_0000093_Segmentation.png",105631.340709989
"ISIC_0000094_Segmentation.png",54874.6298524873
"ISIC_0000095_Segmentation.png",71941.1211192775
"ISIC_0000096_Segmentation.png",265271.868086427
"ISIC_0000097_Segmentation.png",239177.024741159
"ISIC_0000100_Segmentation.png",455724.773062203
"ISIC_0000102_Segmentation.png",26446.3453080348
"ISIC_0000103_Segmentation.png",383543.565065318
"ISIC_0000105_Segmentation.png",112568.896138576
"ISIC_0000108_Segmentation.png",182696.50290913
"ISIC_0000109_Segmentation.png",351939.111843101
"ISIC_0000110_Segmentation.png",96152.0863597382
"ISIC_0000112_Segmentation.png",194711.25286843
"ISIC_0000114_Segmentation.png",30162.2883143343
"ISIC_0000116_Segmentation.png",351787.253306605
"ISIC_0000118_Segmentation.png",78487.6782606022
"ISIC_0000119_Segmentation.png",163435.036222962
"ISIC_0000120_Segmentation.png",412083.550561483
"ISIC_0000121_Segmentation.png",268247.468462342
"ISIC_0000122_Segmentation.png",364403.915552346
"ISIC_0000123_Segmentation.png",168149.053740605
"ISIC_0000127_Segmentation.png",405999.843212065
"ISIC_0000128_Segmentation.png",146661.428868831
"ISIC_0000130_Segmentation.png",217311.320222109
"ISIC_0000131_Segmentation.png",252334.675980769
"ISIC_0000133_Segmentation.png",136124.238553179
"ISIC_0000134_Segmentation.png",78619.3443004606
"ISIC_0000135_Segmentation.png",120169.220846743
"ISIC_0000137_Segmentation.png",242380.478934222
"ISIC_0000139_Segmentation.png",492625.899985245
"ISIC_0000142_Segmentation.png",350532.379418995
"ISIC_0000143_Segmentation.png",410282.247496302
"ISIC_0000145_Segmentation.png",296312.507851854
"ISIC_0000146_Segmentation.png",358617.959928948
"ISIC_0000147_Segmentation.png",475436.727856679
"ISIC_0000148_Segmentation.png",258980.180178433
"ISIC_0000150_Segmentation.png",311649.901229031
"ISIC_0000151_Segmentation.png",90928.7125517684
"ISIC_0000152_Segmentation.png",353501.722170894
"ISIC_0000154_Segmentation.png",95845.068555611
"ISIC_0000155_Segmentation.png",468089.372413304
"ISIC_0000156_Segmentation.png",287738.098590736
"ISIC_0000157_Segmentation.png",61869.5908962714
"ISIC_0000159_Segmentation.png",80890.6506838634
"ISIC_0000162_Segmentation.png",79079.7724903579
"ISIC_0000163_Segmentation.png",52824.6718857725
"ISIC_0000166_Segmentation.png",59215.6848601195
"ISIC_0000167_Segmentation.png",49969.1549680022
"ISIC_0000170_Segmentation.png",43787.5222850534
"ISIC_0000171_Segmentation.png",88391.6262349111
"ISIC_0000175_Segmentation.png",42228.7399562462
"ISIC_0000176_Segmentation.png",55294.6866087707
"ISIC_0000181_Segmentation.png",99885.9177697616
"ISIC_0000182_Segmentation.png",129873.485299116
"ISIC_0000185_Segmentation.png",62354.159293477
"ISIC_0000186_Segmentation.png",23926.9077628357
"ISIC_0000187_Segmentation.png",96646.6653498093
"ISIC_0000190_Segmentation.png",73792.7947091194
"ISIC_0000191_Segmentation.png",60474.7055974429
"ISIC_0000192_Segmentation.png",241131.690536312
"ISIC_0000193_Segmentation.png",66424.3147374041
"ISIC_0000199_Segmentation.png",35702.7387709499
"ISIC_0000203_Segmentation.png",449457.906709638
"ISIC_0000204_Segmentation.png",231376.84416439
"ISIC_0000205_Segmentation.png",316982.14529889
"ISIC_0000206_Segmentation.png",83234.4426370408
"ISIC_0000207_Segmentation.png",191197.508278743
"ISIC_0000208_Segmentation.png",350787.902895458
"ISIC_0000211_Segmentation.png",27912.9639355815
"ISIC_0000214_Segmentation.png",43979.8981070473
"ISIC_0000218_Segmentation.png",103899.274844567
"ISIC_0000219_Segmentation.png",73704.537763491
"ISIC_0000223_Segmentation.png",101289.372899194
"ISIC_0000225_Segmentation.png",20803.2437338762
"ISIC_0000229_Segmentation.png",77802.3990017608
"ISIC_0000235_Segmentation.png",77839.4007172861
"ISIC_0000236_Segmentation.png",119215.616039499
"ISIC_0000237_Segmentation.png",89795.3137591438
"ISIC_0000239_Segmentation.png",98652.8896995498
"ISIC_0000240_Segmentation.png",41468.9273825136
"ISIC_0000242_Segmentation.png",86880.1293242991
"ISIC_0000244_Segmentation.png",69463.0157654501
"ISIC_0000247_Segmentation.png",28114.9222341269
"ISIC_0000249_Segmentation.png",39286.0371052195
"ISIC_0000252_Segmentation.png",28105.0669587269
"ISIC_0000255_Segmentation.png",48143.7809035665
"ISIC_0000256_Segmentation.png",17041.6000981834
"ISIC_0000259_Segmentation.png",209981.75268503
"ISIC_0000260_Segmentation.png",39160.6828248943
"ISIC_0000261_Segmentation.png",19891.2016850181
"ISIC_0000262_Segmentation.png",8471.29892824177
"ISIC_0000263_Segmentation.png",52397.0002976114
"ISIC_0000265_Segmentation.png",61620.0812354256
"ISIC_0000268_Segmentation.png",126984.606062322
"ISIC_0000274_Segmentation.png",69939.7941532021
"ISIC_0000275_Segmentation.png",19717.0623877551
"ISIC_0000277_Segmentation.png",110333.318652346
"ISIC_0000280_Segmentation.png",140321.397295558
"ISIC_0000282_Segmentation.png",103332.187660677
"ISIC_0000285_Segmentation.png",148419.22454275
"ISIC_0000290_Segmentation.png",74240.4271722716
"ISIC_0000293_Segmentation.png",188671.75812986
"ISIC_0000294_Segmentation.png",177091.20480935
"ISIC_0000295_Segmentation.png",96349.7370639257
"ISIC_0000297_Segmentation.png",15287.9291989611
"ISIC_0000300_Segmentation.png",62974.6873768391
