"glcm_mean","glcm_variance","glcm_autoCorrelation","glcm_cProminence","glcm_cShade","glcm_cTendency","glcm_contrast","glcm_correlation","glcm_differenceEntropy","glcm_dissimilarity","glcm_energy","glcm_entropy","glcm_homogeneity1","glcm_homogeneity2","glcm_IDMN","glcm_IDN","glcm_inverseVariance","glcm_maxProb","glcm_sumAverage","glcm_sumEntropy","glcm_sumVariance","glrlm_GLN","glrlm_HGLRE","glrlm_LRE","glrlm_LRHGLE","glrlm_LRLGLE","glrlm_LGLRE","glrlm_RLN","glrlm_RP","glrlm_SRE","glrlm_SRHGLE","glrlm_SRLGLE","glszm_SAE","glszm_LAE","glszm_IV","glszm_SZV","glszm_ZP","glszm_LIE","glszm_HIE","glszm_LISAE","glszm_HISAE","glszm_LILAE","glszm_HILAE"
205869,4502457927207095,477610,3.05314618588064e+27,-7.41529830749663e+21,18009831708822088,6290,0.999999999999301,-1739359.59764756,6286,3257765552,-1074571.75613828,103093.666666667,103093.4,105866.070588235,104978.933333333,6282.5,37874,576030,-1497650.1813749,109292782569091872,937.08275462963,6.48900462962963,798.205439814815,2231.90972222222,547.615931632587,0.356051472479424,187.724537037037,0.0646803413684683,0.176665987889924,1.19837186434138,0.0637372093367687,0.351695321624079,2575481.7400722,60.9205776173285,35.8880866425993,0.00518415930528522,0.357710589651023,9.7942238267148,0.124683843922656,2.97478905284762,908364.340004011,13129987.1877256
1345892,857341611288583040,4138016,2.48480961575322e+31,-9.23110108213409e+24,3429366445154309120,22520,0.999999999999987,-8792153.2130768,22520,66868258156,-5516238.4603753,462038,462038,471973.294117647,468794,22520,199066,2606720,-6262580.57598741,6974540789705886720,3953.40239740281,8.45575626404728,1026.45101140431,8887.22508948639,200.647308008916,0.186869895576089,508.598934487638,0.0506019325869201,0.154896519215625,1.22081354334452,0.0304051496936971,0.321549668280935,14543681.1459695,240.348583877996,109.41394335512,0.00386685874592463,0.178892217380779,10.8474945533769,0.0565655840300259,3.52029677950747,1421013.34977669,171753280.11329
1380001,1023892201403540992,3737366,3.11983793081932e+31,-1.13037652612007e+25,4095568805614138368,26154,0.999999999999987,-10083913.1688289,26150,116158852240,-6473969.53266776,524571.666666667,524571.4,536107.6,532416.133333333,26146.5,266212,3646334,-9097716.00023848,20628837319678193664,4968.50738987987,7.33607571896614,1533.0695303968,10528.1932289771,271.227347004813,0.214068883226146,798.48365489625,0.050967775452346,0.193280134672083,1.48489102266637,0.0408642434015745,0.352321245734909,31310995.2525714,244.405714285714,117.155428571429,0.00324694601534785,0.15274253968254,11.7325714285714,0.0515773712086752,4.13257989008462,3457391.2053,296680199.411429
354172,16870476617079998,1027156,3.38588167554134e+28,-4.78001831105621e+22,67481906468309136,10856,0.999999999999678,-2236968.82981232,10856,5072478180,-1382591.19980797,129066,129066,133855.411764706,132322.8,10856,54790,732012,-1647778.58919495,143448603848218992,1658.02211387776,7.60473620059202,412.607348075919,2766.02925300366,87.5709305531372,0.258867074893107,342.9703987463,0.0850034042805127,0.17692378648223,1.23292912880939,0.0548524717219205,0.348734742953158,2294935.47692308,99.7692307692308,60.1120879120879,0.00673455492732601,0.246047619047619,10.1318681318681,0.0858547557219101,3.61127474855231,320581.077339438,23079546.9010989
1301126,883080456906695168,3632438,2.39198234264721e+31,-9.19198098356756e+24,3532321827626759680,21104,0.999999999999988,-9779665.33597486,21104,79042468276,-6115014.45124396,511078,511078,520388.588235294,517409.2,21104,212184,2926552,-7683262.00080986,12755544168560277504,3333.62278211498,7.59758694109297,1385.88937189496,8190.35796664301,411.494999285348,0.250938288581342,370.730837473385,0.0430993939625672,0.129731648514116,0.853892605336143,0.040815564767637,0.316528568441294,25085564.1957237,164.542763157895,68.2401315789474,0.00232473665092626,0.255120157163743,8.19078947368421,0.081588297166373,2.76811571260641,3538012.45767772,244163840.325658
937566,312295413894468800,2766808,4.392257268019e+30,-2.34237640138868e+24,1249181655577853696,21740,0.999999999999965,-6432737.81472752,21740,32217232340,-3985860.21941633,344404,344404,353995.176470588,350926,21740,123018,1929460,-4722044.61908365,3.103054435716e+18,3342.39057737525,7.77488461203518,668.862144039014,5040.07062614299,186.495268367732,0.248804391999768,533.775929635113,0.0644207573632539,0.151078860104103,1.10595062283808,0.0402762073045717,0.295838174632753,8141422.61757106,178.299741602067,80.9922480620155,0.0043422159887798,0.244417169107092,9.82687338501292,0.0723843082125081,3.15621225318195,1001784.32047086,98015042.0387597
358266,15843401101999458,1143990,3.25368104586032e+28,-4.54089743848877e+22,63373604407988816,9016,0.999999999999716,-2041166.01856142,9016,3907746856,-1253996.01411311,118928,118928,122905.647058824,121632.8,9016,38690,576504,-1228526.8782942,61453467779191328,1349.65245027681,7.86015993438589,334.940127127332,3510.90198892762,51.4402581277197,0.262002198528239,219.362107853188,0.0785510654404304,0.135805256891334,1.01281034840332,0.0384312139489676,0.30758013069619,3057951.67037037,58.6222222222222,30.2444444444444,0.00434873645046467,0.303158436213992,10.0962962962963,0.073917530344179,3.62090401870892,282844.272856996,46852957.0185185
830264,191068495591434368,2685320,2.10736321109042e+30,-1.26909529730017e+24,764273982365729536,7800,0.99999999999998,-4960231.36462417,7800,25730590516,-3107904.21616906,273278,273278,276719.176470588,275618,7800,133136,1431424,-3217842.26443019,989166750645070976,1227.12158752007,9.05115852259693,2819.5090617114,26767.4191328286,432.139666335296,0.226082371084092,127.405597614132,0.0313488867153789,0.116139204631573,0.922230714090548,0.0286125935341688,0.302872158471826,22419045.8495575,60.4778761061947,24.6371681415929,0.00162533801277257,0.198308751229105,11.4424778761062,0.05632573997676,3.79686914161356,1670674.45900197,368471233.243363
593598,113263230091307728,1415952,6.38546523356455e+29,-5.37861847684771e+23,453052920365219840,11036,0.999999999999951,-5811236.10400785,11036,33665444168,-3637240.44936195,315926,315926,320794.823529412,319236.8,11036,155538,1516064,-4789363.82050526,3196456798981744640,1603.87220288414,6.63003480855296,2711.94977623073,5371.42499585612,2330.02743360591,0.364080888446876,176.744074258246,0.0374169700502986,0.104793867718837,0.528795263348788,0.0459292328258666,0.33215668116967,19598720.5709877,102.154320987654,39.037037037037,0.00200946432890714,0.430310356652949,5.22530864197531,0.144749960438305,1.79232494524139,12385398.5989883,72579256.8703704
1153398,682804792503345664,3078048,1.45336264026365e+31,-6.30035864381261e+24,2731219170013350912,30972,0.999999999999977,-9567475.26979564,30972,63879466412,-5933748.44353274,497776,497776,511440.117647059,507067.6,30972,164144,2721060,-7617954.36819768,12603804824782641152,4401.5588851893,6.75890985324948,648.188864224935,3080.99741028487,336.731586817117,0.332354910867212,641.426439758293,0.0630160512583394,0.124711347167911,0.812346670064461,0.0436907621404362,0.253394153732985,13830286.0124153,185.390519187359,66.4830699774266,0.00344260830033843,0.280791635314773,10.1264108352144,0.0850380980482982,2.22871733479518,3799723.98718523,98952316.2009029
2242346,3954867839818552832,6955100,3.18167996632187e+32,-7.09453980900792e+25,15819471359274182656,27492,0.999999999999996,-15232784.465761,27492,181666724976,-9593166.42443323,772806,772806,784934.823529412,781053.6,27492,273454,4039396,-10310509.0610216,29864413153421295616,4385.19299087854,8.7525546944654,2267.34812427131,18713.2396269117,407.138348326208,0.206823091694671,540.733488786777,0.0369971911466567,0.130304778970663,1.10729936542391,0.0296709932262447,0.247195176394797,37867748.7325714,196.878857142857,69.8342857142857,0.00222018669867119,0.186573968253968,11.784,0.0443789154436117,3.00563544861916,3625674.93811746,531977994.88
2283194,5668541678502809600,5913568,4.72798987094979e+32,-1.03538992923464e+26,22674166714011189248,49252,0.999999999999996,-21515554.1961912,49252,306624160944,-13464337.2397074,1062766,1062766,1084494.82352941,1077541.6,49252,370164,5391792,-17174579.6482935,1.34979426313932e+20,7185.26004709576,5.96063579277865,1714.70298273155,5906.66715070644,1212.49982175563,0.385864457962672,861.228492935636,0.0467909282894133,0.111923263653829,0.630811180951584,0.0455337354484028,0.229638475360776,41284925.6555024,277.459330143541,81.7097288676236,0.00230281884124506,0.331580940988836,8.52392344497608,0.0835764321469407,1.85096708960107,16798160.3679858,227878605.741627
2371497,4751618703269061632,7062948,4.27568855393436e+32,-9.01475273143442e+25,19006474813076193280,55934,0.999999999999994,-16337354.2871125,55934,237617699670,-10393429.3274394,816917,816917,841593.764705882,833697.2,55934,394240,5144002,-12862732.4174641,56916209201218920448,9971.26401013317,8.40180069152032,604.18540960597,5090.007360241,91.4136774008269,0.181058124983359,1499.40060251275,0.0689449261953428,0.149185410073711,1.25527536684808,0.0295139893277259,0.254749446114714,23968634.3,493.738235294118,159.604901960784,0.00481488649613157,0.162152233115468,11.993137254902,0.0391610270523753,3.13700213172935,2297605.49235839,272492868.402451
3791258,16186305151470510080,13148876,3.72249260402583e+33,-4.90931364705303e+26,6.4745220605882e+19,33764,0.999999999999999,-22419463.074543,33692,538023395880,-14540656.808959,1109278,1109273.2,1124127.15294118,1119376,33629,557680,5114360,-12114662.2976234,46121268316822274048,6629.38862880027,10.4876755598172,3918.62942072311,47823.2116306616,354.996559309606,0.123659211837479,708.188899543121,0.0314367939399635,0.135176021477822,1.3068831669784,0.0199613709404625,0.235737427495324,78746100.4915798,351.415396952686,96.0809943865277,0.00221116148926248,0.0974173572128664,16.0016038492382,0.0225250421889242,3.75143325386631,4981417.79813664,1335815682.18204
2044623,2708278532359678976,6751828,1.81150224965265e+32,-4.42992219076361e+25,10833114129438691328,25330,0.999999999999995,-12352450.474227,25330,166174435342,-7899751.27997584,635175,635175,646350,642774,25330,354076,3476266,-8074052.3352146,14312869586074161152,4891.26839513326,10.6085602549247,1521.38926709154,15264.7661500579,186.456562520117,0.142873092893009,423.196118192352,0.0424779196648034,0.106197320310446,1.11695864152086,0.0163658396699622,0.217392939215197,42446179.9477401,189.11581920904,42.8728813559322,0.00217803933391373,0.114874843063402,14.2217514124294,0.0267273080454422,3.06468048874642,2849996.1737398,663751108.251412
5193888,48742727972802396160,16142090,2.10384946297468e+34,-2.02531342828214e+27,1.9497091189121e+20,44012,0.999999999999999,-37257129.7223714,44012,1030231453556,-23635610.9458406,1784856,1784856,1804273.05882353,1798059.6,44012,795082,9813680,-26321885.1114161,4.62061447038969e+20,6768.70998346244,8.64605274610497,6337.95321611977,53202.8166071895,1081.49436568554,0.219136541232677,778.734789798938,0.0254068153245843,0.108324155503103,0.887031958602221,0.0261714623519785,0.16684458540489,176082998.279647,285.652243589744,63.0016025641026,0.00137991581186705,0.186355056980057,12.7395833333333,0.0284251391156056,2.19841846213371,17386146.8558367,2257202228.1258
1553670,1932036968345865728,3821170,7.46195195718322e+31,-2.40139684661179e+25,7728147873383436288,27168,0.999999999999993,-15524675.1564217,27168,190069633720,-9745592.1511406,786800,786800,798785.882352941,794950.4,27168,344152,3904128,-12777010.3485182,56472107905023270912,3836.30988645804,6.77776239268901,3703.24729991692,7941.08868734423,3101.07160028001,0.344432232530232,469.386734976461,0.0360152798140889,0.115784949480334,0.737207412652186,0.041171809657739,0.247131237171263,40197248.0691193,219.85618729097,64.505016722408,0.00223661769546094,0.321755543168587,7.95763656633222,0.0857431691126739,1.86088535535564,22428939.5795912,165934587.694537
1879516,4591702338630386688,3424798,2.59528799357408e+32,-6.90414077188801e+25,18366809354521518080,27668,0.999999999999997,-26205946.594995,27668,854324793600,-17016971.617819,1285982,1285982,1298188.47058823,1294282.4,27668,877708,6038664,-24099063.4668665,3.5375918846667e+20,4072.10215196599,6.39180393198725,9501.52058979809,12083.0402497343,8987.03657779475,0.371458130387295,412.330366631243,0.0231228786878196,0.102160400892725,0.762954568341837,0.0339559727191035,0.210973508974236,229582367.417476,163.553398058252,35.6019417475728,0.000949119223503755,0.301863088816972,10.2783171521036,0.0751522520856235,1.96106762414776,211713063.566932,322613775.472492
3293767,12082884090382176256,10186512,2.09737372956992e+33,-3.18385449847225e+26,48331536361528655872,55946,0.999999999999998,-22051677.3689239,55926,486077601780,-14169986.7175657,1085784.33333333,1085783,1110453.41176471,1102559.46666667,55908.5,627828,6813982,-16975145.2229518,1.26489237483634e+20,10321.797837688,8.36253378612516,1304.39871092938,12185.5222815164,161.610586993016,0.171537740353147,1297.97844618477,0.0517379861305336,0.138618478694864,1.09533425410319,0.0286307455388194,0.272354056973244,43629748.6304604,425.040141676505,152.04132231405,0.00303708325265521,0.15198347107438,13.0123966942149,0.0450597387795684,3.6519772708985,4458309.00984143,451424191.285714
1524240,1594223225274895872,3815094,5.92618394261317e+31,-1.94398148947591e+25,6376892901099554816,30752,0.99999999999999,-13122856.6676252,30740,179518398250,-8321594.35922358,670820,670819.2,684379.270588235,680040.4,30729.5,394494,3787896,-11026801.3671813,36388442654532567040,4519.51502782931,6.2560915275201,1786.72127396413,7963.18286951144,542.835943619872,0.360537346251632,613.927149041435,0.0470198925841168,0.123945820515724,0.686700569413331,0.0562544604348649,0.24925644044704,45490490.8246041,202.722289890378,58.9926918392205,0.00238734272180333,0.28361652456354,8.8599269183922,0.0800626703813275,2.09378939033768,10566536.262092,230921678.013398
4192360,27504089620079325184,12083586,7.73453210619051e+33,-9.22455991834923e+26,1.10016358480317e+20,57812,0.999999999999999,-31844512.6082715,57804,830828282060,-20299444.2496107,1535977.33333333,1535976.8,1561477.43529412,1553317.46666667,57797,665844,9421376,-25644168.725873,4.28301722714389e+20,9482.82667861529,7.09306648079923,2244.01228052707,17773.6457233894,358.705085032508,0.258907069969502,1145.85127286004,0.0384461276969329,0.143193868257453,0.941549047099145,0.0450275411306298,0.31888604923383,72571777.1177665,490.90152284264,219.357360406091,0.00251381962769948,0.236277072758037,9.3756345177665,0.0753591431233745,3.05795933714466,7662176.26379949,780168237.493401
4940856,43009181216465567744,15415622,1.67990697607204e+34,-1.70001674769026e+27,1.72036724865862e+20,44540,0.999999999999999,-36255201.780954,44540,885682443276,-22889770.0126648,1739532,1739532,1759182,1752894,44540,624504,8115636,-23010323.8261731,3.13618262846232e+20,7346.54002293091,7.50515945475392,4991.49611448469,45647.464690645,1129.42457718186,0.239875425236269,893.854898297168,0.0266940987100138,0.147214016022014,1.02189463806452,0.0417846559121265,0.34026783447671,105623223.237069,359.912356321839,174.349137931034,0.00157790927021696,0.199895234674329,9.81681034482759,0.0688955639141945,3.39632766374653,10621483.473136,1591634594.0273
525054,63317711986236432,1410972,2.79287186494183e+29,-2.65961092160674e+23,253270847944934784,10900,0.999999999999914,-4027117.84325248,10900,14364150260,-2488859.21076762,224228,224228,229036.823529412,227498,10900,96158,1170424,-3091337.85330036,898879143072329856,1571.19683181665,6.69480957195821,1013.67694641052,5002.57077856421,384.528072688462,0.358606710856458,237.46343107516,0.0514554772248381,0.140740720726189,0.798729305057482,0.0543912792861623,0.36266233073678,12078196.6993671,79.7405063291139,46.9746835443038,0.00274012989603115,0.459057665260197,6.84177215189873,0.143717866174485,2.90210633811183,2528136.80588871,79156363.2626582
3629812,22605462578972508160,9096416,4.76542214128171e+33,-6.56428432923937e+26,9.042185031589e+19,65112,0.999999999999998,-35133685.9442909,65112,840323770672,-22157415.1532457,1683160,1683160,1711885.88235294,1702693.6,65112,704862,9112596,-29305795.2650579,6.42820041990281e+20,10105.4235301084,5.39280004736811,2161.93942803008,9743.22713008467,938.517735697463,0.425316280813942,1259.63793001362,0.0393188061647344,0.139116717440052,0.626137185464926,0.0644246749910062,0.288180011706241,105485705.076243,519.218784530387,163.359116022099,0.00210690506122829,0.500384438305709,5.59281767955801,0.138134320123888,1.63942592864,22554014.0505371,617852798.428177
2472284,6609945680256809984,6767974,6.4641903681543e+32,-1.3073323556056e+26,26439782721027207168,38052,0.999999999999997,-21439253.3475757,38028,290449836668,-13383147.6319648,1062428,1062426.4,1079200.07058824,1073833.2,38007,352626,5451684,-16475405.6105377,1.19441059091026e+20,5471.35105637329,6.46991088414939,2907.6922499249,13348.6718734355,1498.48622758197,0.351757632144009,937.159707619906,0.0368738288857916,0.167263058038396,0.995584779632285,0.0617049446427544,0.299975144469017,35930762.5252844,414.395701643489,166.484197218711,0.00292051653636338,0.293783712600084,7.70733249051833,0.0920651299747548,2.36305515494239,10753346.0490021,286051864.594817
850800,306465942741597312,2222924,3.5494097118368e+30,-2.08592731753759e+24,1225863770966373632,15600,0.999999999999974,-7817631.5432499,15444,52876764764,-4874748.66124955,415681.5,415671.6,422463.232941177,420294.342857143,15312.2222222222,192414,1942916,-6087237.03199934,6459522679025326080,2180.00023747328,7.43611968653526,2101.2993350748,5411.10852529091,1729.82517596111,0.315586328135307,302.519829019235,0.0396465609362275,0.141574749871439,0.91646715251956,0.0449658510346121,0.32596333583912,20793758.4527938,125.346820809249,65.8246628131021,0.00244319224957279,0.265646007278955,8.96917148362235,0.0855644790479514,3.01079810078719,14132302.8312701,91783840.4932563
2491378,5942341391594481664,7322936,5.90141658618664e+32,-1.18436872719832e+26,23769365566377885696,34644,0.999999999999997,-18806716.5466521,34644,242827473800,-11759149.2996947,940046,940046,955330.117647059,950439.2,34644,355954,5203672,-14057358.413473,74813065103585886208,5154.02506510417,7.47639973958333,2291.90223524306,17036.7460394965,608.712622371721,0.27597498010706,604.367947048611,0.0384164870757033,0.109769875098142,0.758557661640089,0.0310932238090969,0.217149781752141,48170698.8240166,201.573498964803,58.656314699793,0.00201336406874617,0.284057395905222,10.3964803312629,0.0588192607977184,2.27174337223138,6319170.84312716,503872571.957557
1774104,2220707504772547328,4891008,1.11832684885922e+32,-3.15181016309664e+25,8882830019090167808,21816,0.999999999999995,-13567512.2665176,21816,163754909440,-8565798.08902493,694652,694652,704276.705882353,701196.8,21816,280810,4315068,-11350422.1769786,39684828186663870464,3350.52021654542,8.53924885806124,3472.36660463543,21565.6553036711,812.118753407019,0.231923414913814,392.22483505329,0.0334243724801665,0.110709357993816,1.04280455799838,0.023110436463612,0.238351909052202,61583714.2237762,134.493006993007,39.0104895104895,0.00161721714250171,0.197636946386946,13.8024475524476,0.044443528150845,3.28397665891917,7829020.14929633,655377935.501748
4079876,23567650727454687232,12744768,6.27667732654614e+33,-7.69224385887413e+26,94270602909818683392,45168,0.999999999999999,-28642183.469106,45168,607509969432,-18110884.7012085,1393284,1393284,1413211.05882353,1406834.4,45168,596316,7506828,-19758163.0639645,2.00203889707133e+20,7352.17146222447,7.93639575971731,2696.15623422514,24722.6320040384,436.032845013742,0.223930289135678,641.685680632677,0.0335231455236193,0.0953264690995917,0.713740144179536,0.0234317568230121,0.230825040596268,100650662.144239,304.519788918206,74.7625329815303,0.00160339123592273,0.169093618684648,11.806508355321,0.0363498016420792,2.84215891264739,10074232.3014549,1302120310.28936
